world,science,uk,us,teesside,tyneside,sunderland,worcester,bedford
"[('Ukraine live briefing: Chinese defense minister meets Putin in Moscow; Ukrainians still digging for survivors of Russian strike', 0.5647814869880676)]",,"[(""Vast military procession to mark King Charles' coronation"", 0.7236125469207764), ('Cost of the crown: what we know so far about British royals’ wealth and finances', 0.5203380584716797)]",,,,,,
"[('Macron defies protests to sign pension age rise into law', 0.550419807434082)]",,"[(""We don't want this to end - stars at Eurovision pre-party"", 0.5092377662658691)]",,,,,,
"[('Joe Biden brings his emotional tour of Ireland to a close with a speech in his ancestral home', 0.6930166482925415)]",,"[('Essex pub that displayed golly dolls seized by police is vandalised', 0.5769444704055786)]",,,,,,
"[('Ukraine live briefing: China says it won’t send weapons to Russia; suspected U.S. leaker charged', 0.6668722033500671)]",,"[('Delivery driver who was hit by own van has died, say Cardiff police', 0.8482937216758728), ('Delivery driver dragged under van dies', 0.8208239078521729)]",,,,,,
"[('Dozens killed as army, rivals battle for control of Sudan', 0.6648569107055664), ('Dozens killed during battle in Sudan’s capital', 0.6395138502120972), ('Violence spreads in Sudan on third day of fighting', 0.6283164024353027), ('Civilians among 56 killed during heavy fighting in Sudan between army and paramilitary forces', 0.6190141439437866), ('Why violence has erupted in Sudan', 0.6094973683357239), ('Gunfire and jet strikes, Sudan conflict... in 67 seconds', 0.5259802341461182)]",,"[('Scrap all existing smart motorways, says AA', 0.6153008341789246)]",,,,,,
"[('Ukraine live briefing: China says it won’t send weapons to Russia; suspected U.S. leaker charged', 0.5977743864059448), ('Ukraine awaits US missile system after latest Russian strike', 0.5647814869880676), ('Putin, Chinese defense minister hail military cooperation', 0.5584854483604431), ('Ukraine live briefing: 11 dead, including toddler, in Russian strike; Blinken calls for ‘immediate release’ of WSJ reporter', 0.515997052192688)]",,"[('Poll reveals voters negative about Labour and Tory attack ads', 0.5426294207572937)]",,,,,,
"[(""US intelligence leaks suspect 'had more online friends than real friends'"", 0.5157586336135864)]",,"[('Racing chiefs condemn protests & look into horse deaths', 0.5903153419494629), ('Horse racing-BHA analysing horse deaths at Grand National, condemns protesters', 0.5392412543296814)]",,,,,,
"[('Gunfire and jet strikes, Sudan conflict... in 67 seconds', 0.5753821134567261), (""Sudan's army pounds paramilitary bases with air strikes in power struggle"", 0.5435447096824646), ('Dozens killed during battle in Sudan’s capital', 0.5290107727050781), ('Why violence has erupted in Sudan', 0.5263922810554504), ('Dozens killed as army, rivals battle for control of Sudan', 0.5209992527961731)]",,,,,,,,
"[(""A simple guide to what's going on in Sudan"", 0.586227297782898), ('Gunfire and jet strikes, Sudan conflict... in 67 seconds', 0.5662570595741272), ('Why violence has erupted in Sudan', 0.5607202053070068), ('Dozens killed as army, rivals battle for control of Sudan', 0.5210615396499634), ('Dozens killed during battle in Sudan’s capital', 0.5010543465614319)]",,,,,,,,
"[('Ukraine live briefing: Chinese defense minister meets Putin in Moscow; Ukrainians still digging for survivors of Russian strike', 0.515997052192688)]",,,,,,,,
"[('Germany shuts all of its nuclear plants – and is warned it will regret it', 0.746704638004303), ('Germany shuts down its final three nuclear power plants, but govt admits plan has downsides', 0.7177659869194031), ('Over and out: Germany switches off its last nuclear plants', 0.6687788963317871)]",,,,,,,,
"[(""Three of El Chapo's sons charged over drug trafficking as US tackles overdose crisis"", 0.5235722064971924)]",,,,,,,,
"[('China vows not to sell arms to any party in Ukraine war', 0.6668722033500671), ('Ukraine live briefing: Chinese defense minister meets Putin in Moscow; Ukrainians still digging for survivors of Russian strike', 0.5977743864059448), ('Smuggling, secrets and missiles running low: Claims about Ukraine war revealed in Pentagon leaks', 0.5036767721176147)]",,,,,,,,
"[('Smuggling, secrets and missiles running low: Claims about Ukraine war revealed in Pentagon leaks', 0.6606114506721497), (""Putin's intelligence problem and Pentagon leaks | Defence in Depth"", 0.6256297826766968)]",,,,,,,,
"[('UN halts food aid to Sudan after three employees killed in fighting', 0.5804992318153381), ('Dozens killed during battle in Sudan’s capital', 0.504388689994812)]",,,,,,,,
